camis,first_inspection,last_inspection,active_days,grade,boro,score,cuisine_description,year_opened,duration_group
40375286,2022-02-14,2024-11-07,997,A,Queens,2.0,Pizza,2022,2-3yr
40375369,2021-08-05,2024-07-31,1091,A,Queens,13.0,Pizza,2021,2-3yr
40375616,2022-03-10,2024-10-03,938,A,Manhattan,5.0,Italian,2022,2-3yr
40375699,2023-05-09,2025-01-08,610,A,Manhattan,12.0,Italian,2023,1-2yr
40375929,2023-03-30,2023-03-30,0,A,Brooklyn,5.0,Italian,2023,
40376077,2022-10-19,2024-08-19,670,A,Queens,13.0,Greek,2022,1-2yr
40376142,2022-03-09,2023-05-11,428,N,Manhattan,23.0,Italian,2022,1-2yr
40376204,2022-12-28,2025-04-16,840,A,Queens,13.0,Italian,2022,2-3yr
40376290,2022-07-22,2024-11-27,859,A,Staten Island,11.0,American,2022,2-3yr
40376352,2023-04-20,2024-04-04,350,A,Manhattan,9.0,American,2023,<1yr
40376493,2017-02-23,2019-05-01,797,A,Manhattan,12.0,Seafood,2017,2-3yr
40376495,2021-08-03,2024-01-09,889,A,Brooklyn,13.0,Italian,2021,2-3yr
40376496,2022-04-20,2024-10-09,903,A,Manhattan,13.0,American,2022,2-3yr
40376515,2022-01-12,2024-10-28,1020,A,Manhattan,12.0,American,2022,2-3yr
40376583,2024-12-13,2024-12-13,0,A,Staten Island,2.0,American,2024,
40376635,2022-02-07,2024-07-30,904,A,Brooklyn,5.0,Mediterranean,2022,2-3yr
40376718,2022-02-15,2024-06-06,842,A,Manhattan,11.0,Sandwiches,2022,2-3yr
40376735,2023-04-25,2025-06-03,770,N,Manhattan,25.0,Irish,2023,2-3yr
40377124,2022-09-13,2024-12-12,821,A,Bronx,13.0,Seafood,2022,2-3yr
40377243,2022-06-08,2025-05-14,1071,N,Bronx,50.0,Pizza,2022,2-3yr
40377262,2022-01-26,2024-11-12,1021,N,Staten Island,21.0,Pizza,2022,2-3yr
40377294,2022-08-01,2024-11-19,841,A,Queens,7.0,Hamburgers,2022,2-3yr
40377325,2022-01-03,2024-08-15,955,A,Manhattan,13.0,Hamburgers,2022,2-3yr
40377385,2022-03-04,2024-10-07,948,A,Queens,13.0,Pizza,2022,2-3yr
40377506,2022-12-14,2025-02-19,798,A,Brooklyn,11.0,Pizza,2022,2-3yr
40377560,2022-10-24,2024-11-01,739,A,Queens,13.0,Caribbean,2022,2-3yr
40377630,2021-07-30,2024-05-10,1015,A,Manhattan,2.0,American,2021,2-3yr
40377789,2023-03-20,2025-03-21,732,A,Manhattan,12.0,French,2023,2-3yr
40378035,2022-08-22,2025-04-23,975,N,Queens,16.0,Donuts,2022,2-3yr
40378190,2023-03-27,2024-11-18,602,N,Queens,27.0,Japanese,2023,1-2yr
40378212,2022-02-24,2024-12-17,1027,B,Manhattan,27.0,Spanish,2022,2-3yr
40378571,2022-02-09,2024-03-19,769,A,Manhattan,13.0,Italian,2022,2-3yr
40378579,2023-04-05,2025-04-04,730,N,Manhattan,42.0,American,2023,1-2yr
40378827,2022-01-05,2023-10-16,649,B,Brooklyn,26.0,Jewish/Kosher,2022,1-2yr
40378874,2023-03-15,2024-09-14,549,A,Manhattan,5.0,American,2023,1-2yr
40379026,2022-10-21,2024-11-29,770,B,Queens,24.0,Latin American,2022,2-3yr
40379149,2022-03-01,2025-01-29,1065,A,Manhattan,13.0,Italian,2022,2-3yr
40379566,2021-08-10,2024-05-24,1018,A,Queens,13.0,Seafood,2021,2-3yr
40379580,2022-08-09,2025-01-09,884,A,Manhattan,12.0,American,2022,2-3yr
40379628,2022-02-09,2023-06-13,489,A,Manhattan,12.0,Japanese,2022,1-2yr
40379662,2023-06-23,2025-02-04,592,N,Manhattan,29.0,Italian,2023,1-2yr
40379746,2024-10-21,2025-01-27,98,A,Manhattan,11.0,Japanese,2024,<1yr
40379890,2021-07-26,2023-11-20,847,A,Manhattan,13.0,American,2021,2-3yr
40379920,2021-08-19,2024-04-18,973,A,Manhattan,10.0,American,2021,2-3yr
40380164,2022-01-24,2025-01-07,1079,A,Bronx,11.0,Spanish,2022,2-3yr
40380182,2022-02-17,2023-10-16,606,A,Manhattan,2.0,American,2022,1-2yr
40380422,2022-01-04,2024-06-20,898,N,Queens,21.0,Pizza,2022,2-3yr
40380432,2022-05-04,2024-12-06,947,A,Manhattan,8.0,American,2022,2-3yr
40380457,2022-01-04,2023-08-03,576,A,Manhattan,2.0,Mexican,2022,1-2yr
40380464,2023-01-25,2025-01-23,729,A,Brooklyn,10.0,Japanese,2023,1-2yr
40380517,2022-03-02,2025-01-28,1063,A,Manhattan,12.0,Jewish/Kosher,2022,2-3yr
40380520,2022-10-24,2024-06-20,605,A,Queens,8.0,Indian,2022,1-2yr
40380592,2022-11-09,2024-10-16,707,A,Brooklyn,10.0,American,2022,1-2yr
40380628,2022-03-09,2024-06-27,841,A,Queens,9.0,Pizza,2022,2-3yr
40380657,2023-04-26,2024-08-14,476,N,Brooklyn,16.0,American,2023,1-2yr
40380660,2025-05-19,2025-05-19,0,A,Manhattan,13.0,Tex-Mex,2025,
40380826,2022-02-14,2025-01-14,1065,A,Manhattan,13.0,American,2022,2-3yr
40380996,2021-08-03,2024-07-03,1065,A,Brooklyn,13.0,Pizza,2021,2-3yr
40381551,2021-07-20,2024-06-21,1067,A,Brooklyn,12.0,American,2021,2-3yr
40381720,2022-01-06,2024-04-16,831,A,Manhattan,10.0,Caribbean,2022,2-3yr
40382057,2022-04-22,2024-06-03,773,N,Brooklyn,23.0,American,2022,2-3yr
40382652,2024-04-15,2025-04-09,359,A,Bronx,11.0,Pizza,2024,<1yr
40382802,2022-12-07,2025-03-25,839,A,Manhattan,13.0,Irish,2022,2-3yr
40383003,2023-03-28,2025-06-16,811,A,Queens,12.0,American,2023,2-3yr
40383044,2021-08-17,2024-01-11,877,N,Brooklyn,30.0,Pizza,2021,2-3yr
40383067,2022-01-20,2024-04-11,812,A,Manhattan,10.0,Russian,2022,2-3yr
40383147,2022-12-03,2024-10-11,678,N,Queens,26.0,Italian,2022,1-2yr
40383281,2022-10-06,2025-03-11,887,N,Queens,21.0,Pizza,2022,2-3yr
40383284,2023-06-20,2024-11-19,518,A,Queens,9.0,Italian,2023,1-2yr
40383464,2022-02-10,2025-01-29,1084,A,Manhattan,2.0,French,2022,2-3yr
40383511,2022-03-10,2024-06-11,824,A,Manhattan,10.0,American,2022,2-3yr
40383609,2022-10-24,2024-10-28,735,N,Staten Island,29.0,Spanish,2022,2-3yr
40383737,2022-02-17,2024-03-18,760,N,Staten Island,27.0,Italian,2022,2-3yr
40383819,2022-04-12,2024-05-23,772,A,Bronx,9.0,American,2022,2-3yr
40383825,2023-04-24,2025-05-07,744,Z,Manhattan,27.0,Russian,2023,2-3yr
40384036,2022-09-23,2024-09-13,721,A,Brooklyn,10.0,Hamburgers,2022,1-2yr
40384188,2022-12-29,2024-09-13,624,N,Manhattan,0.0,Italian,2022,1-2yr
40384340,2022-02-16,2025-01-16,1065,A,Manhattan,9.0,American,2022,2-3yr
40384458,2023-03-01,2025-06-02,824,N,Queens,42.0,Pizza,2023,2-3yr
40384528,2023-01-26,2025-03-20,784,A,Manhattan,11.0,Eastern European,2023,2-3yr
40384575,2023-01-05,2025-04-09,825,A,Brooklyn,7.0,Hamburgers,2023,2-3yr
40384662,2023-02-22,2025-05-07,805,A,Brooklyn,9.0,Pizza,2023,2-3yr
40384671,2022-03-08,2024-05-06,790,B,Manhattan,25.0,French,2022,2-3yr
40384920,2023-03-24,2025-05-27,795,A,Queens,9.0,Bakery Products/Desserts,2023,2-3yr
40385057,2025-02-04,2025-02-04,0,A,Brooklyn,9.0,American,2025,
40385157,2022-02-18,2023-12-20,670,A,Manhattan,10.0,Mediterranean,2022,1-2yr
40385161,2022-04-20,2025-01-09,995,Z,Manhattan,27.0,American,2022,2-3yr
40385580,2017-08-16,2020-03-03,930,A,Manhattan,12.0,Italian,2017,2-3yr
40385584,2022-02-08,2024-08-16,920,A,Queens,13.0,Pizza,2022,2-3yr
40385587,2023-05-02,2025-04-03,702,A,Manhattan,12.0,Seafood,2023,1-2yr
40385680,2022-03-10,2024-05-21,803,A,Bronx,13.0,American,2022,2-3yr
